src,src_name,src_type,rel,dst,dst_name,dst_type,functional
p_hessa_torvane,Hessa Torvane,Person,married_to,p_gavo_rellin,Gavo Rellin,Person,true
p_ivo_caldrin,Ivo Caldrin,Person,married_to,p_jessa_minlow,Jessa Minlow,Person,true
p_jessa_minlow,Jessa Minlow,Person,married_to,p_ivo_caldrin,Ivo Caldrin,Person,true
p_kellan_orvix,Kellan Orvix,Person,married_to,p_luma_rennic,Luma Rennic,Person,true
p_luma_rennic,Luma Rennic,Person,married_to,p_kellan_orvix,Kellan Orvix,Person,true
p_arlen_veyro,Arlen Veyro,Person,manages,p_eron_pellis,Eron Pellis,Person,false
p_arlen_veyro,Arlen Veyro,Person,manages,p_ivo_caldrin,Ivo Caldrin,Person,false
p_arlen_veyro,Arlen Veyro,Person,manages,p_maro_veskin,Maro Veskin,Person,false
p_brisa_nalore,Brisa Nalore,Person,manages,p_gavo_rellin,Gavo Rellin,Person,false
p_brisa_nalore,Brisa Nalore,Person,manages,p_oren_halix,Oren Halix,Person,false
p_corwin_mavik,Corwin Mavik,Person,manages,p_fia_selwick,Fia Selwick,Person,false
p_corwin_mavik,Corwin Mavik,Person,manages,p_jessa_minlow,Jessa Minlow,Person,false
p_corwin_mavik,Corwin Mavik,Person,manages,p_nira_tavro,Nira Tavro,Person,false
p_della_quorin,Della Quorin,Person,manages,p_hessa_torvane,Hessa Torvane,Person,false
p_della_quorin,Della Quorin,Person,manages,p_luma_rennic,Luma Rennic,Person,false
p_arlen_veyro,Arlen Veyro,Person,leads_project,project_tallowmere,Project Tallowmere,Project,false
p_brisa_nalore,Brisa Nalore,Person,leads_project,project_glasskite,Project Glasskite,Project,false
p_corwin_mavik,Corwin Mavik,Person,leads_project,project_emberfold,Project Emberfold,Project,false
p_della_quorin,Della Quorin,Person,leads_project,project_rivetspool,Project Rivetspool,Project,false
p_eron_pellis,Eron Pellis,Person,leads_project,project_tallowmere,Project Tallowmere,Project,false
p_fia_selwick,Fia Selwick,Person,leads_project,project_glasskite,Project Glasskite,Project,false
p_hessa_torvane,Hessa Torvane,Person,leads_project,project_rivetspool,Project Rivetspool,Project,false
p_nira_tavro,Nira Tavro,Person,leads_project,project_moonquill,Project Moonquill,Project,false
p_maro_veskin,Maro Veskin,Person,leads_project,project_moonquill,Project Moonquill,Project,false
p_jessa_minlow,Jessa Minlow,Person,leads_project,project_emberfold,Project Emberfold,Project,false
